Category,Variable Name,Description,Measurable,Data Source,Historical Example (2014-2025),Narrative Power,Measurability,Predictive Power,Combined Score
Telemetry,Intra-stint lap-time stddev (sigma-Lap),Stddev of fuel/tyre-corrected lap times within a stint averaged over the season — direct math proxy for ,Yes,FastF1 Laps.LapTime + pick_quicklaps() per Stint,Hamilton 2019 USA 32-lap stint on worn hards sigma <0.4s vs Bottas on fresher rubber — emblematic of title-clinching season,9,10,9,28
Telemetry,Fuel-corrected race pace variance,Residual lap-time scatter after fuel-mass and tyre-age correction — isolates driver consistency from car/strategy,Yes,FastF1 + custom regression (~0.03-0.04 s/lap/kg fuel correction),Spain 2020 Hamilton lowest residual while managing tyres; Bottas residual jumped 2s mid-stint exposing higher day-to-day variance,7,8,9,24
Telemetry,Tyre-degradation slope per stint (delta-s/lap),Linear regression slope of lap-time vs lap-number per stint normalized by compound,Yes,FastF1; Pirelli post-race fuel-corrected deg reports,Verstappen Bahrain 2024 ~0 progressive deg on C3; Hamilton 2018-19 routinely 30-50% flatter than Bottas on identical compounds,8,9,9,26
Telemetry,Sector-time consistency index,Stddev of S1+S2+S3 across green-flag laps; identifies sector-specific instability,Yes,FastF1 SectorXTime; OpenF1 /laps,Leclerc Singapore 2022 S3 collapsed 0.6s in final 10 laps when tyres overheated behind Perez — cost the win,7,10,8,25
Telemetry,Qualifying-to-race pace delta,Q3 lap vs median fuel-corrected race lap; small stable delta = peak performance reproducible Sunday,Yes,FastF1 (qualifying + race),Ferrari F1-75 2022 — Leclerc routinely on pole but Binotto admitted systemic race-pace deficit; 2024 Leclerc same pattern,8,9,8,25
Telemetry,Minimum corner speed (MCS) variance,Per-corner stddev of apex speeds across race laps — literal definition of ,Yes,FastF1 Speed channel ~3.7 Hz joined to circuit_info.corners,Verstappen 2022-24 narrow MCS variance the documented core of RB tyre advantage; Norris 2024 slow-corner MCS variance flagged as McLaren weakness,7,8,8,23
Telemetry,Throttle modulation in low-grip conditions,Stddev of Throttle channel filtered to wet/cold-tyre laps — smoother trace = better grip management,Yes,FastF1/OpenF1 Throttle + Rainfall/TrackTemp,Verstappen Brazil 2024 P17→P1 in heavy rain; fastest 10-lap avg 1:12.97 vs Piastri 1:13.00 — telemetry-visible throttle smoothness; decided 2024 title,9,8,8,25
Telemetry,Brake-application consistency (lap-to-lap),Stddev of brake-on distance relative to corner reference; FastF1 brake is boolean so use brake-on transition position,Partial,FastF1 Brake (boolean); OpenF1 brake (0/100),Hamilton 2021 wheel-to-wheel races vs Verstappen — Hamilton brake markers shifted <1m lap-to-lap vs wider Verstappen variance on hards Brazil sprint 2021,6,6,7,19
Telemetry,Out-lap and in-lap pace delta vs target,Out-lap and in-lap times minus median green-lap of stint; the execution layer that determines if a strategy can work,Yes,FastF1 PitInTime/PitOutTime + lap-1-of-stint flags,Hungary 2019 Hamilton in-lap on undercut 0.7s faster than Verstappen reaction lap — swung the race,6,9,7,22
Telemetry,DRS attempt-to-completion rate,Of flagged DRS-eligible attempts within 1s how many converted to a pass before brake zone,Partial,OpenF1 position+intervals + DRS state in car_data,Hamilton USA/Mexico 2021 — DRS-faster than Verstappen but couldn't convert because RB straight-line speed too high; lower conversion rate vs Max,7,6,6,19
